id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,artist,song_title,cluster,track_id
0E8WJOFs2eWD67USh7C6Qd,0.766,0.674,0.0,-6.245,1.0,0.0538,0.0217,5.87e-05,0.258,0.214,121.012,audio_features,spotify:track:0E8WJOFs2eWD67USh7C6Qd,https://api.spotify.com/v1/tracks/0E8WJOFs2eWD67USh7C6Qd,https://api.spotify.com/v1/audio-analysis/0E8WJOFs2eWD67USh7C6Qd,168636.0,4.0,Loud Luxury,Love No More,0.0,
0ElpbbncWT9aS7mgoqEHbQ,0.554,0.225,3.0,-11.324,1.0,0.0281,0.892,0.0321,0.107,0.221,104.007,audio_features,spotify:track:0ElpbbncWT9aS7mgoqEHbQ,https://api.spotify.com/v1/tracks/0ElpbbncWT9aS7mgoqEHbQ,https://api.spotify.com/v1/audio-analysis/0ElpbbncWT9aS7mgoqEHbQ,239880.0,4.0,SYML,Where's My Love - Acoustic,8.0,
0EqczV3o6fwksegAavIHpX,0.613,0.81,1.0,-6.16,1.0,0.488,0.832,0.899,0.137,0.686,150.251,audio_features,spotify:track:0EqczV3o6fwksegAavIHpX,https://api.spotify.com/v1/tracks/0EqczV3o6fwksegAavIHpX,https://api.spotify.com/v1/audio-analysis/0EqczV3o6fwksegAavIHpX,116104.0,4.0,ZWE1HVNDXR,LOVELY BASTARDS,3.0,
0EzGo7e1iSzk8GurP7pn15,0.783,0.75,1.0,-4.676,1.0,0.0477,0.0158,0.0,0.128,0.622,97.06,audio_features,spotify:track:0EzGo7e1iSzk8GurP7pn15,https://api.spotify.com/v1/tracks/0EzGo7e1iSzk8GurP7pn15,https://api.spotify.com/v1/audio-analysis/0EzGo7e1iSzk8GurP7pn15,128690.0,4.0,Kehlani,Love Like,2.0,
0F5pLlDRsYpz1eiazcGQR1,0.469,0.752,11.0,-5.958,0.0,0.0406,0.00362,0.143,0.0944,0.198,179.84,audio_features,spotify:track:0F5pLlDRsYpz1eiazcGQR1,https://api.spotify.com/v1/tracks/0F5pLlDRsYpz1eiazcGQR1,https://api.spotify.com/v1/audio-analysis/0F5pLlDRsYpz1eiazcGQR1,189368.0,4.0,Endie,love like that,7.0,
0FPv9HTukuuQZdCFdtRY7v,0.484,0.897,7.0,-4.481,1.0,0.0468,0.134,0.0,0.129,0.502,169.987,audio_features,spotify:track:0FPv9HTukuuQZdCFdtRY7v,https://api.spotify.com/v1/tracks/0FPv9HTukuuQZdCFdtRY7v,https://api.spotify.com/v1/audio-analysis/0FPv9HTukuuQZdCFdtRY7v,219323.0,4.0,Brantley Gilbert,Bottoms Up,7.0,
0FQroAJHjN85mvXb9Wu56D,0.612,0.573,6.0,-6.475,1.0,0.05,0.0908,2.95e-05,0.0644,0.402,109.984,audio_features,spotify:track:0FQroAJHjN85mvXb9Wu56D,https://api.spotify.com/v1/tracks/0FQroAJHjN85mvXb9Wu56D,https://api.spotify.com/v1/audio-analysis/0FQroAJHjN85mvXb9Wu56D,279273.0,4.0,Zinadelphia,Love Over Glory,1.0,
0G0VXyHhDArShJPkGaWNvI,0.561,0.536,6.0,-6.227,1.0,0.0346,0.0951,0.0,0.114,0.378,150.01,audio_features,spotify:track:0G0VXyHhDArShJPkGaWNvI,https://api.spotify.com/v1/tracks/0G0VXyHhDArShJPkGaWNvI,https://api.spotify.com/v1/audio-analysis/0G0VXyHhDArShJPkGaWNvI,209229.0,4.0,Gabby Barrett,I Hope,7.0,
0GLXQAdrh4tdvz0JLw8DX8,0.749,0.553,10.0,-6.385,1.0,0.0374,0.42,0.000198,0.31,0.641,96.044,audio_features,spotify:track:0GLXQAdrh4tdvz0JLw8DX8,https://api.spotify.com/v1/tracks/0GLXQAdrh4tdvz0JLw8DX8,https://api.spotify.com/v1/audio-analysis/0GLXQAdrh4tdvz0JLw8DX8,172189.0,4.0,HUH YUNJIN,love you twice,1.0,
0GfozZ3blxFoBkugN62y8S,0.572,0.782,10.0,-5.591,1.0,0.0404,0.131,0.0,0.0803,0.475,140.07,audio_features,spotify:track:0GfozZ3blxFoBkugN62y8S,https://api.spotify.com/v1/tracks/0GfozZ3blxFoBkugN62y8S,https://api.spotify.com/v1/audio-analysis/0GfozZ3blxFoBkugN62y8S,261000.0,4.0,Apalachee Falls,"Country Roads (feat. Apalachee Don, Manchild Marshall & Byrd Dog)",1.0,
